video_title,video_date,Tyler,Garrett,Cody,Cory,Coby,first,t_first,second,t_second,third,tyler_cum_wins,garrett_cum_wins,cody_cum_wins,cory_cum_wins,coby_cum_wins
Paper Airplane Battle,2012-08-21,0,0,1,3,0,Cody,,,,Cory,0,0,1,0,0
Go Kart Battle,2013-07-15,0,0,2,3,0,,,Cody,,Cory,0,0,1,0,0
Bubble Wrap Battle,2015-01-26,1,2,0,0,3,Tyler,,Garrett,,Coby,1,0,1,0,0
Shark Fishing Battle,2015-03-16,1,0,0,2,0,Tyler,,Cory,,,2,0,1,0,0
Dizzy Sports Battle,2015-05-04,0,0,1,0,2,Cody,,Coby,,,2,0,2,0,0
iPhone Game Battle,2015-06-04,2,0,0,1,0,Cory,,Tyler,,,2,0,2,1,0
All Sports Golf Battle,2015-06-08,2,1,0,0,0,Garrett,,Tyler,,,2,1,2,1,0
Dizzy Sports Battle 2,2015-07-08,1,0,0,0,2,Tyler,,Coby,,,3,1,2,1,0
RC Battle,2015-07-20,2,2,1,0,0,Cody,,Tyler,Garrett,,3,1,3,1,0
Nerf Blasters Battle,2015-08-10,1,2,0,0,0,Tyler,,Garrett,,,4,1,3,1,0
Plastic Golf Club Battle,2015-08-24,1,0,0,0,2,Tyler,,Coby,,,5,1,3,1,0
Slip and Slide Football Battle,2015-09-28,2,0,1,0,2,Cody,,Tyler,Coby,,5,1,4,1,0
Bubble Gum Blowing Battle,2015-10-19,1,3,2,0,0,Tyler,,Cody,,Garrett,6,1,4,1,0
Snow Sports Battle,2015-11-23,1,3,0,2,0,Tyler,,Cory,,Garrett,7,1,4,1,0
Mountain Top Snow Battle,2016-02-01,1,2,2,0,0,Tyler,,Garrett,Cody,,8,1,4,1,0
Giant Basketball Arcade Battle,2016-02-08,1,2,0,0,2,Tyler,,Garrett,Coby,,9,1,4,1,0
Lawnmower Racing Battle,2016-05-02,0,1,3,0,2,Garrett,,Coby,,Cody,9,2,4,1,0
Drone Racing Battle,2016-06-06,1,2,0,0,0,Tyler,,Garrett,,,10,2,4,1,0
